07/11 15:10:12.213 | 15:10:12.213 : #00004C98 #Con#Mercury     TCustomClient.Create SocketState=nil AliveTimer=nil
07/11 15:10:12.213 | 15:10:12.213 : #00004C98 #Con#Mercury     TCustomClient.Create: After Read Proxy Settings SocketState=nil AliveTimer=nil
07/11 15:10:12.214 | 15:10:12.214 : #00004C98 #Con#Mercury     TServerListManager.LoadFromFile: bNoFile=Sim
07/11 15:10:12.228 | 15:10:12.228 : #00004C98 #Con#Mercury     TCustomClientProcessor.GetHardwareID : Result : 19115DE9
07/11 15:10:12.228 | 15:10:12.228 : #00004C98 #Con#Info        TCustomClient.Create SocketState=nil AliveTimer=nil
07/11 15:10:12.228 | 15:10:12.228 : #00004C98 #Con#Info        TCustomClient.Create: After Read Proxy Settings SocketState=nil AliveTimer=nil
07/11 15:10:12.229 | 15:10:12.229 : #00004C98 #Con#Info        TServerListManager.LoadFromFile: bNoFile=Sim
07/11 15:10:12.232 | 15:10:12.232 : #00004C98 #Con#Info        TCustomClientProcessor.GetHardwareID : Result : 19115DE9
07/11 15:10:12.343 | 15:10:12.343 : #00004020 #Con#Mercury     TCustomClient.ExecuteCreate: AliveTimer Interval=2000
07/11 15:10:12.353 | 15:10:12.353 : #00004F68 #Con#Info        TCustomClient.ExecuteCreate: AliveTimer Interval=2000
07/11 15:10:12.460 | 15:10:12.460 : #00004F68 #Con#Info        TCustomClient.Execute : Start SocketState=nil AliveTimer=False
07/11 15:10:12.492 | 15:10:12.492 : #00004F68 #Con#Info        TCustomClient.BuildSocket: SocketState=wsClosed AliveTimer=False SSL=True
07/11 15:10:12.493 | 15:10:12.493 : #00004020 #Con#Mercury     TCustomClient.Execute : Start SocketState=nil AliveTimer=False
07/11 15:10:12.510 | 15:10:12.510 : #00004020 #Con#Mercury     TCustomClient.BuildSocket: SocketState=wsClosed AliveTimer=False SSL=False
07/11 15:10:12.545 | 15:10:12.545 : #00004F68 #Con#Info        TCustomClient.ConfigureSocket : Sem Proxy SocketState=wsClosed AliveTimer=False SSL=True
07/11 15:10:12.545 | 15:10:12.545 : #00004020 #Con#Mercury     TCustomClient.ConfigureSocket : Sem Proxy SocketState=wsClosed AliveTimer=False SSL=False
07/11 15:10:12.545 | 15:10:12.545 : #00004F68 #Con#Info        TCustomClient.ConfigureSocket : fa07.nelogica.com.br : 643 | SSL= True SocketState=wsClosed AliveTimer=False SSL=True
07/11 15:10:12.545 | 15:10:12.545 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect: AliveTimer Interval=800
07/11 15:10:12.545 | 15:10:12.545 : #00004020 #Con#Mercury     TCustomClient.ConfigureSocket : fg09.nelogica.com.br : 443 | SSL= False SocketState=wsClosed AliveTimer=False SSL=False
07/11 15:10:12.545 | 15:10:12.545 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect: AliveTimer Interval=800
07/11 15:10:12.545 | 15:10:12.545 : #00004C98 #Log#Roteamento  TDataFeedManager.HandleConnectionState: WM_CONNECTOR_STATE_CONNECTION 2 MercuryState=1
07/11 15:10:12.545 | 15:10:12.545 : #00004C98 #Log#Roteamento  TConnectorThread.ProcessStateCallback: Type=2 Result=1
07/11 15:10:12.560 | 15:10:12.560 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect SocketState=wsConnecting AliveTimer=True SSL=False
07/11 15:10:12.560 | 15:10:12.560 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect not closed :  SocketState=wsConnecting AliveTimer=True SSL=False
07/11 15:10:12.574 | 15:10:12.574 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect SocketState=wsConnecting AliveTimer=True SSL=True
07/11 15:10:12.574 | 15:10:12.574 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect not closed :  SocketState=wsConnecting AliveTimer=True SSL=True
07/11 15:10:12.665 | 15:10:12.665 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=104.899
07/11 15:10:12.665 | 15:10:12.665 : #00004020 #Con#Mercury     TCustomClient.FWSocketSessionConnected ok : 0 SocketState=wsConnected AliveTimer=False SSL=False
07/11 15:10:12.665 | 15:10:12.665 : #00004020 #Con#Mercury     TCustomClient.FWSocketSessionConnected: AliveTimer Interval=10000
07/11 15:10:12.665 | 15:10:12.665 : #00004020 #Con#Mercury     TMercuryClientProcessor.SendIamAlive : 07/11/2022 15:10:12
07/11 15:10:12.665 | 15:10:12.665 : #00004C98 #Log#Roteamento  TDataFeedManager.HandleConnectionState: WM_CONNECTOR_STATE_CONNECTION 2 MercuryState=2
07/11 15:10:12.665 | 15:10:12.665 : #00004C98 #Log#Roteamento  TConnectorThread.ProcessStateCallback: Type=2 Result=2
07/11 15:10:12.680 | 15:10:12.680 : #00004F68 #Con#Info        TCustomClient.FWSocketSessionConnected ok : 0 SocketState=wsConnected AliveTimer=False SSL=True
07/11 15:10:12.680 | 15:10:12.680 : #00004F68 #Con#Info        TCustomClient.FWSocketSessionConnected: AliveTimer Interval=10000
07/11 15:10:12.779 | 15:10:12.779 : #00004020 #Con#Mercury     TMercuryClientProcessor.BuildNewLoginMsg : HDSerial : 00523_D8_B1124B_01.D
07/11 15:10:12.779 | 15:10:12.779 : #00004020 #Con#Mercury     TMercuryClientProcessor.BuildNewLoginMsg: Login=15557724710 PassHash=AA0***
